SAMPN,PERNO,PLANO,ACTNO,APURP,Act_Cat,LAT,LON,MODE,PNAME,place_type
7105286,4,5,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.073787,-117.932549,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7188012,1,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.711091,-81.307955,Rental Car/Vehicle,BEST WESTERN,Other
103303,1,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.08548571,-118.3078371,Walk,,Other
103303,2,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.08548571,-118.3078371,Walk,,Other
104353,1,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.04145605,-117.0494425,Auto/van/truck driver,,Other
104353,2,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.04145605,-117.0494425,Auto/van/truck driver,,Other
105358,1,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.27982934,-118.4736965,Auto/van/truck driver,,Other
106989,1,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.09156498,-118.348291,Other private transit,,Other
109575,1,1,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.145911,-117.9227622,,,Other
110626,1,1,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.77134715,-118.0397668,,,Other
110626,1,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.77134715,-118.0397668,Auto/van/truck driver,,Other
112692,1,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.65647191,-117.583265,,,Other
114762,1,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.0165537,-117.9924652,Auto/van/truck driver,,Other
114762,1,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.0165537,-117.9924652,Auto/van/truck driver,,Other
114762,2,1,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.0165537,-117.9924652,,,Other
115505,1,8,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.91565715,-118.101461,Auto/van/truck driver,,Other
115505,2,9,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.91565715,-118.101461,Auto/van/truck driver,,Other
116977,1,9,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.80219732,-118.3110749,Auto/van/truck driver,,Other
116977,1,11,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.80219732,-118.3110749,Walk,,Other
119622,1,1,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.60958908,-117.7171663,,,Other
119693,1,6,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.87751819,-118.1139386,Auto/van/truck driver,,Other
120279,1,1,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.63503795,-117.8981258,,,Other
120279,1,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.63503795,-117.8981258,Auto/van/truck driver,,Other
120279,2,3,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.63503795,-117.8981258,Auto/van/truck driver,,Other
120372,1,3,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.54193536,-117.6661499,Auto/van/truck driver,,Other
121100,1,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.7856734,-118.1865944,,,Other
121100,3,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.7856734,-118.1865944,,,Other
121100,3,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.7856734,-118.1865944,School bus,,Other
121100,4,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.7856734,-118.1865944,,,Other
121100,4,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.7856734,-118.1865944,Walk,,Other
121100,5,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.7856734,-118.1865944,,,Other
121100,5,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.7856734,-118.1865944,Walk,,Other
121100,6,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.7856734,-118.1865944,,,Other
121720,1,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.16801849,-118.5076188,Auto/van/truck passenger,,Other
122016,1,1,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.45876359,-118.5495929,,,Other
